timestamp,predicted_energy_kwh,actual_energy_kwh,ground_truth_anomaly,anomaly_type
2026-09-01 00:00:00,50.0,55.41,False,none
2026-09-01 01:00:00,50.0,51.26,False,none
2026-09-01 02:00:00,50.0,51.82,False,none
2026-09-01 03:00:00,50.0,51.01,False,none
2026-09-01 04:00:00,50.0,51.3,False,none
2026-09-01 05:00:00,50.0,49.36,False,none
2026-09-01 06:00:00,50.0,48.3,False,none
2026-09-01 07:00:00,50.0,51.21,False,none
2026-09-01 08:00:00,50.0,45.96,False,none
2026-09-01 09:00:00,59.06,60.54,False,none
2026-09-01 10:00:00,67.5,68.56,False,none
2026-09-01 11:00:00,74.75,73.57,False,none
2026-09-01 12:00:00,80.31,80.69,False,none
2026-09-01 13:00:00,83.81,82.29,False,none
2026-09-01 14:00:00,85.0,83.13,False,none
2026-09-01 15:00:00,83.81,85.72,False,none
2026-09-01 16:00:00,80.31,80.69,False,none
2026-09-01 17:00:00,74.75,78.71,False,none
2026-09-01 18:00:00,67.5,72.71,False,none
2026-09-01 19:00:00,59.06,60.43,False,none
2026-09-01 20:00:00,50.0,96.04,True,after-hours HVAC
2026-09-01 21:00:00,50.0,98.41,True,after-hours HVAC
2026-09-01 22:00:00,50.0,91.19,True,after-hours HVAC
2026-09-01 23:00:00,50.0,94.03,True,after-hours HVAC
2026-09-02 00:00:00,50.0,49.73,False,none
2026-09-02 01:00:00,50.0,50.78,False,none
2026-09-02 02:00:00,50.0,50.33,False,none
2026-09-02 03:00:00,50.0,50.37,False,none
2026-09-02 04:00:00,50.0,51.62,False,none
2026-09-02 05:00:00,50.0,50.15,False,none
2026-09-02 06:00:00,50.0,51.28,False,none
2026-09-02 07:00:00,50.0,50.66,False,none
2026-09-02 08:00:00,50.0,49.01,False,none
2026-09-02 09:00:00,59.06,57.55,False,none
2026-09-02 10:00:00,67.5,65.61,False,none
2026-09-02 11:00:00,74.75,75.72,False,none
2026-09-02 12:00:00,80.31,80.08,False,none
2026-09-02 13:00:00,83.81,87.61,False,none
2026-09-02 14:00:00,85.0,85.48,False,none
2026-09-02 15:00:00,83.81,87.8,False,none
2026-09-02 16:00:00,80.31,78.32,False,none
2026-09-02 17:00:00,74.75,75.14,False,none
2026-09-02 18:00:00,67.5,65.23,False,none
2026-09-02 19:00:00,59.06,59.06,False,none
2026-09-02 20:00:00,50.0,103.58,True,after-hours HVAC
2026-09-02 21:00:00,50.0,98.04,True,after-hours HVAC
2026-09-02 22:00:00,50.0,96.83,True,after-hours HVAC
2026-09-02 23:00:00,50.0,100.51,True,after-hours HVAC
2026-09-03 00:00:00,50.0,54.31,False,none
2026-09-03 01:00:00,50.0,48.78,False,none
2026-09-03 02:00:00,50.0,48.49,False,none
2026-09-03 03:00:00,50.0,49.31,False,none
2026-09-03 04:00:00,50.0,50.29,False,none
2026-09-03 05:00:00,50.0,49.04,False,none
2026-09-03 06:00:00,50.0,51.12,False,none
2026-09-03 07:00:00,50.0,52.05,False,none
2026-09-03 08:00:00,50.0,48.15,False,none
2026-09-03 09:00:00,59.06,62.78,False,none
2026-09-03 10:00:00,67.5,65.23,False,none
2026-09-03 11:00:00,74.75,75.97,False,none
2026-09-03 12:00:00,80.31,81.08,False,none
2026-09-03 13:00:00,83.81,87.98,False,none
2026-09-03 14:00:00,85.0,84.25,False,none
2026-09-03 15:00:00,83.81,84.27,False,none
2026-09-03 16:00:00,80.31,81.67,False,none
2026-09-03 17:00:00,74.75,76.82,False,none
2026-09-03 18:00:00,67.5,67.44,False,none
2026-09-03 19:00:00,59.06,62.94,False,none
2026-09-03 20:00:00,50.0,96.4,True,after-hours HVAC
2026-09-03 21:00:00,50.0,96.85,True,after-hours HVAC
2026-09-03 22:00:00,50.0,98.8,True,after-hours HVAC
2026-09-03 23:00:00,50.0,97.9,True,after-hours HVAC
2026-09-04 00:00:00,50.0,47.23,False,none
2026-09-04 01:00:00,50.0,52.96,False,none
2026-09-04 02:00:00,50.0,51.92,False,none
2026-09-04 03:00:00,50.0,45.72,False,none
2026-09-04 04:00:00,50.0,51.99,False,none
2026-09-04 05:00:00,50.0,52.38,False,none
2026-09-04 06:00:00,50.0,47.91,False,none
2026-09-04 07:00:00,50.0,52.59,False,none
2026-09-04 08:00:00,50.0,47.06,False,none
2026-09-04 09:00:00,59.06,58.07,False,none
2026-09-04 10:00:00,67.5,67.17,False,none
2026-09-04 11:00:00,74.75,75.72,False,none
2026-09-04 12:00:00,80.31,81.1,False,none
2026-09-04 13:00:00,83.81,84.25,False,none
2026-09-04 14:00:00,85.0,83.29,False,none
2026-09-04 15:00:00,83.81,86.89,False,none
2026-09-04 16:00:00,80.31,81.64,False,none
2026-09-04 17:00:00,74.75,73.67,False,none
2026-09-04 18:00:00,67.5,66.36,False,none
2026-09-04 19:00:00,59.06,61.87,False,none
2026-09-04 20:00:00,50.0,98.51,True,after-hours HVAC
2026-09-04 21:00:00,50.0,93.66,True,after-hours HVAC
2026-09-04 22:00:00,50.0,93.55,True,after-hours HVAC
2026-09-04 23:00:00,50.0,97.14,True,after-hours HVAC
2026-09-05 00:00:00,50.0,46.05,False,none
2026-09-05 01:00:00,50.0,48.27,False,none
2026-09-05 02:00:00,50.0,51.44,False,none
2026-09-05 03:00:00,50.0,47.55,False,none
2026-09-05 04:00:00,50.0,53.21,False,none
2026-09-05 05:00:00,50.0,47.77,False,none
2026-09-05 06:00:00,50.0,47.23,False,none
2026-09-05 07:00:00,50.0,47.34,False,none
2026-09-05 08:00:00,50.0,50.08,False,none
2026-09-05 09:00:00,59.06,58.24,False,none
2026-09-05 10:00:00,67.5,65.96,False,none
2026-09-05 11:00:00,74.75,74.97,False,none
2026-09-05 12:00:00,80.31,78.7,False,none
2026-09-05 13:00:00,83.81,84.31,False,none
2026-09-05 14:00:00,85.0,86.3,False,none
2026-09-05 15:00:00,83.81,84.53,False,none
2026-09-05 16:00:00,80.31,78.15,False,none
2026-09-05 17:00:00,74.75,76.55,False,none
2026-09-05 18:00:00,67.5,67.82,False,none
2026-09-05 19:00:00,59.06,60.72,False,none
2026-09-05 20:00:00,50.0,105.39,True,after-hours HVAC
2026-09-05 21:00:00,50.0,100.37,True,after-hours HVAC
2026-09-05 22:00:00,50.0,104.94,True,after-hours HVAC
2026-09-05 23:00:00,50.0,101.4,True,after-hours HVAC
2026-09-06 00:00:00,50.0,51.17,False,none
2026-09-06 01:00:00,50.0,46.76,False,none
2026-09-06 02:00:00,50.0,51.36,False,none
2026-09-06 03:00:00,50.0,50.05,False,none
2026-09-06 04:00:00,50.0,46.64,False,none
2026-09-06 05:00:00,50.0,50.67,False,none
2026-09-06 06:00:00,50.0,48.94,False,none
2026-09-06 07:00:00,50.0,54.24,False,none
2026-09-06 08:00:00,50.0,50.4,False,none
2026-09-06 09:00:00,59.06,63.66,False,none
2026-09-06 10:00:00,67.5,68.96,False,none
2026-09-06 11:00:00,74.75,73.02,False,none
2026-09-06 12:00:00,80.31,80.92,False,none
2026-09-06 13:00:00,83.81,84.29,False,none
2026-09-06 14:00:00,85.0,86.73,False,none
2026-09-06 15:00:00,83.81,80.69,False,none
2026-09-06 16:00:00,80.31,79.81,False,none
2026-09-06 17:00:00,74.75,73.59,False,none
2026-09-06 18:00:00,67.5,67.97,False,none
2026-09-06 19:00:00,59.06,59.46,False,none
2026-09-06 20:00:00,50.0,98.27,True,after-hours HVAC
2026-09-06 21:00:00,50.0,96.34,True,after-hours HVAC
2026-09-06 22:00:00,50.0,91.85,True,after-hours HVAC
2026-09-06 23:00:00,50.0,98.99,True,after-hours HVAC
2026-09-07 00:00:00,50.0,94.27,True,after-hours HVAC
2026-09-07 01:00:00,50.0,49.18,False,none
2026-09-07 02:00:00,50.0,50.69,False,none
2026-09-07 03:00:00,50.0,50.39,False,none
2026-09-07 04:00:00,50.0,48.03,False,none
2026-09-07 05:00:00,50.0,54.46,False,none
2026-09-07 06:00:00,50.0,48.06,False,none
2026-09-07 07:00:00,50.0,46.96,False,none
2026-09-07 08:00:00,50.0,52.27,False,none
2026-09-07 09:00:00,59.06,60.12,False,none
2026-09-07 10:00:00,67.5,68.29,False,none
2026-09-07 11:00:00,74.75,73.49,False,none
2026-09-07 12:00:00,80.31,77.51,False,none
2026-09-07 13:00:00,83.81,83.37,False,none
2026-09-07 14:00:00,85.0,84.91,False,none
2026-09-07 15:00:00,83.81,83.83,False,none
2026-09-07 16:00:00,80.31,80.5,False,none
2026-09-07 17:00:00,74.75,77.23,False,none
2026-09-07 18:00:00,67.5,65.3,False,none
2026-09-07 19:00:00,59.06,55.24,False,none
2026-09-07 20:00:00,50.0,49.24,False,none
2026-09-07 21:00:00,50.0,46.67,False,none
2026-09-07 22:00:00,50.0,44.53,False,none
2026-09-07 23:00:00,50.0,53.05,False,none
2026-09-08 00:00:00,50.0,50.36,False,none
2026-09-08 01:00:00,50.0,48.75,False,none
2026-09-08 02:00:00,50.0,74.07,True,overnight lighting
2026-09-08 03:00:00,50.0,80.21,True,overnight lighting
2026-09-08 04:00:00,50.0,76.84,True,overnight lighting
2026-09-08 05:00:00,50.0,75.51,True,overnight lighting
2026-09-08 06:00:00,50.0,75.24,True,overnight lighting
2026-09-08 07:00:00,50.0,47.87,False,none
2026-09-08 08:00:00,50.0,49.75,False,none
2026-09-08 09:00:00,59.06,57.17,False,none
2026-09-08 10:00:00,67.5,71.56,False,none
2026-09-08 11:00:00,74.75,72.66,False,none
2026-09-08 12:00:00,80.31,77.7,False,none
2026-09-08 13:00:00,83.81,80.54,False,none
2026-09-08 14:00:00,85.0,86.6,False,none
2026-09-08 15:00:00,83.81,80.47,False,none
2026-09-08 16:00:00,80.31,81.53,False,none
2026-09-08 17:00:00,74.75,75.32,False,none
2026-09-08 18:00:00,67.5,67.09,False,none
2026-09-08 19:00:00,59.06,64.05,False,none
2026-09-08 20:00:00,50.0,48.91,False,none
2026-09-08 21:00:00,50.0,50.99,False,none
2026-09-08 22:00:00,50.0,47.53,False,none
2026-09-08 23:00:00,50.0,48.4,False,none
2026-09-09 00:00:00,50.0,51.51,False,none
2026-09-09 01:00:00,50.0,48.46,False,none
2026-09-09 02:00:00,50.0,74.63,True,overnight lighting
2026-09-09 03:00:00,50.0,74.9,True,overnight lighting
2026-09-09 04:00:00,50.0,76.35,True,overnight lighting
2026-09-09 05:00:00,50.0,72.0,True,overnight lighting
2026-09-09 06:00:00,50.0,73.17,True,overnight lighting
